Day,Date,CodedDay,Zone,Weather,Temperature,Traffic
Friday,01-06-18,3,5,19,45,2
Saturday,02-06-18,3,6,24,12,5
Sunday,03-06-18,3,3,48,33,1
Monday,04-06-18,3,8,37,9,2
Tuesday,05-06-18,3,3,50,26,5
Wednesday,06-06-18,3,7,33,35,3
Thursday,07-06-18,3,4,35,33,4
Friday,08-06-18,3,4,31,24,4
Saturday,09-06-18,3,10,18,22,2
Sunday,10-06-18,3,7,42,7,1
Monday,11-06-18,3,8,47,16,1
Tuesday,12-06-18,3,3,50,38,2
Wednesday,13-06-18,3,8,16,37,2
Thursday,14-06-18,3,7,28,18,3
Friday,15-06-18,3,7,24,32,1
Saturday,16-06-18,3,7,21,18,3
Sunday,17-06-18,3,9,21,17,2
Monday,18-06-18,3,1,46,24,4
Tuesday,19-06-18,3,9,16,41,3
Wednesday,20-06-18,3,10,19,42,4
Thursday,21-06-18,3,8,42,16,1
Friday,22-06-18,3,5,12,29,5
Saturday,23-06-18,3,5,25,39,2
Sunday,24-06-18,3,7,11,44,1
Monday,25-06-18,3,10,31,43,3
Tuesday,26-06-18,3,2,36,40,2
Wednesday,27-06-18,3,1,43,38,4
Thursday,28-06-18,3,3,38,20,2
Friday,29-06-18,3,8,29,23,4
Saturday,30-06-18,3,1,10,9,1
Sunday,01-07-18,3,6,18,29,5
Monday,02-07-18,3,9,39,40,5
Tuesday,03-07-18,3,8,36,38,3
Wednesday,04-07-18,3,3,49,5,4
Thursday,05-07-18,3,4,35,24,5
Friday,06-07-18,3,7,10,38,5
Saturday,07-07-18,3,5,14,6,4
Sunday,08-07-18,3,10,44,28,1
Monday,09-07-18,3,8,37,15,3
Tuesday,10-07-18,3,5,37,35,5
Wednesday,11-07-18,3,1,28,9,3
Thursday,12-07-18,3,2,24,28,2
Friday,13-07-18,3,3,27,29,1
Saturday,14-07-18,3,9,26,31,3
Sunday,15-07-18,3,4,32,19,3
Monday,16-07-18,3,8,25,31,5
Tuesday,17-07-18,3,4,25,26,1
Wednesday,18-07-18,3,6,50,21,5
Thursday,19-07-18,3,9,47,20,2
Friday,20-07-18,3,6,33,29,5
Saturday,21-07-18,3,4,40,32,5
Sunday,22-07-18,3,8,12,43,4
Monday,23-07-18,3,5,17,44,4
Tuesday,24-07-18,3,1,48,29,2
Wednesday,25-07-18,3,3,31,39,1
Thursday,26-07-18,3,1,19,11,1
Friday,27-07-18,3,10,17,12,5
Saturday,28-07-18,3,10,24,40,1
Sunday,29-07-18,3,7,19,30,2
Monday,30-07-18,3,3,15,20,1
Tuesday,31-07-18,3,9,33,29,4
Wednesday,01-08-18,3,10,17,45,4
Thursday,02-08-18,3,1,45,22,4
Friday,03-08-18,3,8,38,7,2
Saturday,04-08-18,3,1,29,34,4
Sunday,05-08-18,3,3,34,11,5
Monday,06-08-18,3,5,36,10,5
Tuesday,07-08-18,3,10,43,40,2
Wednesday,08-08-18,3,5,33,12,1
Thursday,09-08-18,3,4,29,37,1
Friday,10-08-18,3,1,16,12,2
Saturday,11-08-18,3,9,38,28,3
Sunday,12-08-18,3,4,10,7,4
Monday,13-08-18,3,1,36,40,1
Tuesday,14-08-18,3,2,11,14,1
Wednesday,15-08-18,3,5,29,10,2
Thursday,16-08-18,3,6,41,15,3
Friday,17-08-18,3,8,15,10,2
Saturday,18-08-18,3,3,36,35,5
Sunday,19-08-18,3,8,45,13,5
Monday,20-08-18,3,3,34,37,3
Tuesday,21-08-18,3,4,21,40,1
Wednesday,22-08-18,3,8,24,26,1
Thursday,23-08-18,3,9,27,8,2
Friday,24-08-18,3,10,31,7,4
Saturday,25-08-18,3,1,30,26,4
Sunday,26-08-18,3,2,27,15,3
Monday,27-08-18,3,2,50,35,5
Tuesday,28-08-18,3,2,46,10,2
Wednesday,29-08-18,3,4,20,18,4
Thursday,30-08-18,3,10,35,26,2
Friday,31-08-18,3,2,36,5,3
Saturday,01-09-18,3,2,31,32,4
Sunday,02-09-18,3,4,37,18,5
Monday,03-09-18,3,5,46,45,2
Tuesday,04-09-18,3,10,13,43,5
Wednesday,05-09-18,3,5,36,42,3
Thursday,06-09-18,3,5,33,19,1
Friday,07-09-18,3,1,34,20,3
Saturday,08-09-18,3,6,39,6,4
Sunday,09-09-18,3,3,39,13,2
Monday,10-09-18,3,7,49,21,5
Tuesday,11-09-18,3,1,24,18,4
Wednesday,12-09-18,3,3,47,14,3
Thursday,13-09-18,3,7,44,29,2
Friday,14-09-18,3,3,48,14,4
Saturday,15-09-18,3,7,19,39,5
Sunday,16-09-18,3,3,20,11,5
Monday,17-09-18,3,6,10,39,2
Tuesday,18-09-18,3,4,49,7,1
Wednesday,19-09-18,3,3,39,23,1
Thursday,20-09-18,3,3,37,17,4
Friday,21-09-18,3,6,44,8,4
Saturday,22-09-18,3,6,24,10,5
Sunday,23-09-18,3,2,22,26,2
Monday,24-09-18,3,2,14,22,2
Tuesday,25-09-18,3,2,48,16,3
Wednesday,26-09-18,3,5,45,41,2
Thursday,27-09-18,3,1,40,43,1
Friday,28-09-18,3,1,47,42,5
Saturday,29-09-18,3,6,48,34,5
Sunday,30-09-18,3,3,35,31,5
Monday,01-10-18,3,6,35,24,3
Tuesday,02-10-18,3,2,10,22,3
Wednesday,03-10-18,3,2,17,21,4
Thursday,04-10-18,3,8,46,9,5
Friday,05-10-18,3,8,22,38,2
Saturday,06-10-18,3,7,39,25,4
Sunday,07-10-18,3,8,46,36,2
Monday,08-10-18,3,7,35,28,1
Tuesday,09-10-18,3,1,12,37,3
Wednesday,10-10-18,3,4,28,39,2
Thursday,11-10-18,3,2,10,22,4
Friday,12-10-18,3,10,39,6,4
Saturday,13-10-18,3,6,38,11,5
Sunday,14-10-18,3,7,15,42,3
Monday,15-10-18,3,4,41,24,4
Tuesday,16-10-18,3,6,46,13,3
Wednesday,17-10-18,3,9,17,41,5
Thursday,18-10-18,3,4,40,21,3
Friday,19-10-18,3,4,29,9,1
Saturday,20-10-18,3,5,31,39,5
Sunday,21-10-18,3,6,28,34,2
Monday,22-10-18,3,6,28,12,5
Tuesday,23-10-18,3,3,16,35,3
Wednesday,24-10-18,3,3,35,5,2
Thursday,25-10-18,3,2,19,24,1
Friday,26-10-18,3,4,38,33,4
Saturday,27-10-18,3,10,37,12,1
Sunday,28-10-18,3,4,45,22,5
Monday,29-10-18,3,6,27,11,4
Tuesday,30-10-18,3,6,18,39,1
Wednesday,31-10-18,3,2,27,13,1
Thursday,01-11-18,3,9,15,39,3
Friday,02-11-18,3,5,12,6,5
Saturday,03-11-18,3,3,16,14,5
Sunday,04-11-18,3,3,22,6,1
Monday,05-11-18,3,3,18,24,2
Tuesday,06-11-18,3,10,34,42,3
Wednesday,07-11-18,3,6,16,21,4
Thursday,08-11-18,3,7,49,27,1
Friday,09-11-18,3,6,46,17,3
Saturday,10-11-18,3,2,18,27,2
Sunday,11-11-18,3,5,41,33,5
Monday,12-11-18,3,6,42,13,5
Tuesday,13-11-18,3,1,50,6,3
Wednesday,14-11-18,3,5,21,32,5
Thursday,15-11-18,3,9,42,10,2
Friday,16-11-18,3,9,24,33,4
Saturday,17-11-18,3,8,18,16,1
Sunday,18-11-18,3,1,26,44,4
Monday,19-11-18,3,6,45,36,5
Tuesday,20-11-18,3,8,18,36,3
Wednesday,21-11-18,3,3,29,36,4
Thursday,22-11-18,3,2,10,20,1
Friday,23-11-18,3,1,13,10,5
Saturday,24-11-18,3,3,38,14,5
